trial,teammate_id,reward_ep0
0,4,6
1,4,6
2,1,15
3,1,15
4,1,15
5,1,15
6,2,17
7,0,1
8,3,7
9,3,7
10,0,1
11,2,17
12,1,15
13,2,17
14,3,0
15,1,0
16,2,17
17,1,15
18,2,17
19,3,7
20,2,17
21,2,17
22,0,1
23,0,1
24,1,15
25,3,7
26,0,1
27,3,7
28,2,17
29,0,1
30,2,17
31,2,17
32,2,17
33,4,6
34,3,7
35,4,6
36,4,6
37,1,15
38,1,16
39,1,15
40,4,6
41,2,17
42,1,15
43,0,1
44,0,0
45,1,15
46,0,1
47,0,1
48,0,1
49,2,17
50,3,7
51,3,7
52,1,15
53,4,6
54,1,16
55,0,1
56,2,17
57,4,6
58,0,1
59,3,7
60,3,7
61,3,7
62,0,1
63,4,6
64,2,17
65,3,7
66,2,17
67,0,1
68,1,15
69,0,1
70,0,1
71,4,6
72,0,1
73,4,6
74,2,17
75,0,1
76,0,1
77,3,7
78,2,17
79,0,1
80,4,6
81,4,0
82,4,6
83,3,7
84,2,17
85,0,1
86,2,17
87,1,15
88,1,16
89,2,17
90,1,15
91,0,1
92,0,1
93,1,16
94,3,7
95,3,7
96,3,0
97,4,0
98,1,15
99,1,15
