trial,teammate_id,reward_ep0
0,2,17
1,1,14
2,0,13
3,4,6
4,0,13
5,2,18
6,1,15
7,0,13
8,1,15
9,0,13
10,2,18
11,3,7
12,4,6
13,2,17
14,1,14
15,1,14
16,2,17
17,4,6
18,1,14
19,1,14
20,1,14
21,4,6
22,1,14
23,3,7
24,1,14
25,3,7
26,2,17
27,3,7
28,1,14
29,4,6
30,1,14
31,1,14
32,3,7
33,4,6
34,2,18
35,1,14
36,4,6
37,4,6
38,4,6
39,4,6
40,3,7
41,0,0
42,0,13
43,4,6
44,1,15
45,0,13
46,2,17
47,0,13
48,1,14
49,2,18
50,4,6
51,0,13
52,0,13
53,0,13
54,4,6
55,4,6
56,0,13
57,2,18
58,2,17
59,3,7
60,2,17
61,1,14
62,3,7
63,0,13
64,2,18
65,0,13
66,2,18
67,4,6
68,4,6
69,2,17
70,1,14
71,4,6
72,0,13
73,0,13
74,0,13
75,0,13
76,3,7
77,3,7
78,4,6
79,1,14
80,0,13
81,1,14
82,4,6
83,0,13
84,0,13
85,4,6
86,4,6
87,2,17
88,4,6
89,2,17
90,4,6
91,0,13
92,4,6
93,4,6
94,1,14
95,2,17
96,4,6
97,4,6
98,0,13
99,1,14
