trial,teammate_id,reward_ep0
0,2,18
1,0,13
2,4,6
3,4,6
4,4,6
5,2,18
6,4,6
7,2,18
8,0,13
9,4,6
10,0,13
11,3,7
12,3,7
13,2,17
14,0,13
15,4,6
16,2,18
17,3,7
18,1,14
19,2,18
20,2,18
21,3,7
22,4,6
23,0,13
24,0,13
25,4,6
26,2,18
27,1,15
28,2,18
29,2,18
30,1,14
31,0,13
32,1,13
33,3,7
34,0,13
35,4,6
36,0,13
37,4,6
38,1,13
39,1,13
40,3,7
41,4,6
42,1,14
43,2,18
44,3,7
45,4,6
46,0,13
47,1,13
48,0,13
49,1,13
50,2,18
51,0,13
52,0,13
53,4,6
54,3,7
55,4,6
56,1,14
57,4,6
58,3,7
59,0,13
60,2,18
61,1,14
62,4,6
63,1,13
64,2,18
65,4,6
66,4,6
67,0,13
68,3,7
69,2,18
70,3,7
71,4,6
72,1,14
73,2,17
74,0,13
75,3,7
76,3,7
77,4,6
78,0,13
79,1,14
80,1,14
81,2,18
82,3,7
83,2,18
84,2,18
85,3,7
86,1,14
87,3,7
88,3,7
89,2,18
90,0,13
91,1,15
92,0,13
93,2,18
94,4,6
95,3,7
96,2,17
97,4,6
98,4,6
99,1,14
