trial,teammate_id,reward_ep0
0,3,7
1,0,14
2,0,14
3,2,17
4,2,17
5,1,12
6,2,18
7,4,6
8,1,12
9,3,7
10,0,14
11,1,12
12,4,6
13,0,14
14,1,12
15,1,12
16,0,14
17,3,8
18,2,17
19,1,12
20,4,6
21,3,8
22,3,8
23,1,12
24,0,14
25,1,12
26,4,6
27,4,0
28,4,0
29,2,17
30,3,7
31,1,12
32,0,14
33,4,0
34,3,8
35,0,14
36,3,8
37,1,12
38,0,14
39,2,18
40,4,6
41,1,0
42,3,7
43,0,14
44,0,14
45,2,17
46,0,14
47,2,18
48,2,17
49,3,7
50,3,8
51,1,0
52,4,6
53,2,17
54,3,7
55,3,7
56,0,14
57,3,8
58,2,18
59,3,7
60,4,6
61,4,6
62,3,7
63,3,7
64,3,8
65,1,12
66,2,18
67,2,17
68,0,14
69,4,0
70,4,6
71,1,12
72,2,17
73,3,7
74,4,6
75,0,15
76,3,8
77,2,18
78,1,12
79,0,14
80,3,8
81,1,12
82,3,7
83,0,14
84,2,17
85,4,0
86,4,6
87,0,14
88,2,18
89,0,15
90,2,17
91,1,0
92,0,14
93,4,6
94,2,17
95,4,6
96,1,12
97,3,7
98,3,7
99,1,12
