trial,teammate_id,reward_ep0
0,0,0
1,0,12
2,0,0
3,0,0
4,4,5
5,4,5
6,4,5
7,4,5
8,0,0
9,0,12
10,4,5
11,2,17
12,0,0
13,2,18
14,2,18
15,3,5
16,1,17
17,4,5
18,0,12
19,2,18
20,4,5
21,1,17
22,4,5
23,1,17
24,4,5
25,0,0
26,4,5
27,4,5
28,0,0
29,0,12
30,1,17
31,1,17
32,1,17
33,2,17
34,0,0
35,3,6
36,4,5
37,0,12
38,3,5
39,1,17
40,4,5
41,4,5
42,4,5
43,1,17
44,4,5
45,4,5
46,3,5
47,1,17
48,0,0
49,3,6
50,1,17
51,2,17
52,1,17
53,3,6
54,3,5
55,1,17
56,4,5
57,0,12
58,3,5
59,0,0
60,0,12
61,0,0
62,3,6
63,4,5
64,1,17
65,3,6
66,3,6
67,4,5
68,3,6
69,0,0
70,4,5
71,1,17
72,4,5
73,3,6
74,0,0
75,4,5
76,1,17
77,2,17
78,0,0
79,0,12
80,2,0
81,2,18
82,2,18
83,4,5
84,0,0
85,4,5
86,0,13
87,1,17
88,4,5
89,4,5
90,0,0
91,1,18
92,3,6
93,3,6
94,0,12
95,0,0
96,2,18
97,3,5
98,3,6
99,4,5
