trial,teammate_id,reward_ep0
0,1,18
1,1,17
2,2,17
3,3,5
4,0,0
5,2,18
6,0,0
7,3,5
8,1,18
9,1,18
10,4,5
11,2,17
12,0,0
13,1,18
14,3,6
15,2,18
16,2,17
17,1,18
18,2,17
19,2,18
20,1,17
21,1,18
22,3,6
23,4,5
24,4,5
25,2,18
26,1,17
27,0,0
28,4,5
29,2,17
30,3,5
31,2,18
32,0,0
33,2,18
34,3,6
35,4,5
36,0,0
37,4,5
38,4,5
39,2,17
40,2,18
41,4,5
42,4,5
43,2,18
44,3,6
45,2,17
46,3,6
47,4,5
48,1,17
49,3,6
50,0,0
51,2,18
52,1,17
53,4,5
54,3,6
55,1,18
56,2,17
57,2,18
58,0,0
59,3,6
60,2,18
61,0,0
62,3,6
63,1,17
64,0,0
65,2,18
66,3,6
67,0,0
68,4,5
69,3,6
70,2,18
71,0,0
72,3,6
73,1,17
74,1,17
75,0,0
76,4,5
77,1,17
78,0,0
79,0,0
80,3,6
81,4,5
82,4,5
83,4,5
84,3,5
85,2,17
86,1,17
87,2,18
88,2,18
89,1,17
90,2,18
91,0,0
92,3,6
93,1,17
94,1,18
95,0,0
96,1,17
97,2,18
98,1,17
99,0,0
