trial,teammate_id,reward_ep0
0,2,16
1,3,7
2,0,16
3,1,17
4,0,16
5,2,16
6,0,16
7,4,6
8,1,17
9,0,16
10,1,17
11,4,0
12,0,16
13,3,7
14,0,16
15,2,16
16,0,16
17,3,7
18,0,16
19,4,6
20,0,16
21,1,17
22,1,17
23,1,0
24,3,7
25,2,16
26,1,17
27,4,5
28,4,6
29,0,16
30,0,16
31,3,7
32,4,5
33,0,16
34,3,7
35,1,17
36,0,16
37,1,17
38,4,5
39,3,7
40,1,17
41,0,16
42,3,7
43,4,6
44,3,7
45,3,7
46,0,16
47,0,16
48,2,16
49,4,5
50,1,17
51,1,17
52,4,5
53,4,6
54,4,6
55,4,0
56,3,7
57,3,7
58,1,17
59,0,16
60,3,7
61,4,6
62,2,16
63,2,16
64,2,17
65,1,17
66,0,16
67,3,7
68,3,7
69,2,16
70,3,7
71,2,16
72,2,16
73,4,5
74,4,5
75,1,17
76,4,6
77,0,16
78,2,16
79,4,6
80,2,16
81,0,16
82,3,7
83,4,5
84,1,18
85,3,7
86,1,17
87,1,17
88,3,7
89,3,7
90,0,16
91,1,17
92,3,7
93,3,7
94,2,16
95,4,6
96,1,17
97,2,16
98,1,17
99,4,6
