trial,teammate_id,reward_ep0
0,4,6
1,0,1
2,3,7
3,0,1
4,3,7
5,0,1
6,4,6
7,4,6
8,1,15
9,0,1
10,4,6
11,0,1
12,0,1
13,3,7
14,4,6
15,0,0
16,3,7
17,4,6
18,4,6
19,2,17
20,0,0
21,2,16
22,2,17
23,4,0
24,4,6
25,1,15
26,0,1
27,1,15
28,3,7
29,4,6
30,2,17
31,0,0
32,3,7
33,2,17
34,4,6
35,0,0
36,4,6
37,4,6
38,3,0
39,3,7
40,0,0
41,2,17
42,1,15
43,2,17
44,1,15
45,4,6
46,1,14
47,0,1
48,0,1
49,4,0
50,1,15
51,0,0
52,0,1
53,3,0
54,1,0
55,1,15
56,2,17
57,0,0
58,0,0
59,3,7
60,2,17
61,4,6
62,0,0
63,4,6
64,3,7
65,2,17
66,4,6
67,4,6
68,3,7
69,4,6
70,4,6
71,1,15
72,0,1
73,0,0
74,2,17
75,0,1
76,1,15
77,2,17
78,4,6
79,1,15
80,4,6
81,2,17
82,3,7
83,3,7
84,3,7
85,0,0
86,4,6
87,3,7
88,0,0
89,3,7
90,4,6
91,1,15
92,2,16
93,2,17
94,1,16
95,4,6
96,2,17
97,1,15
98,4,6
99,4,6
